Rk,Player,Pos,Age,Tm,G,GS,MP,FG,FGA,FG%,3P,3PA,3P%,2P,2PA,2P%,eFG%,FT,FTA,FT%,ORB,DRB,TRB,AST,STL,BLK,TOV,PF,PTS
27,Mo Bamba\bambamo01,C,22,ORL,19,0,10.2,2.1,4.1,.500,0.4,1.4,.308,1.6,2.7,.596,.551,0.4,0.6,.583,1.2,2.9,4.1,0.3,0.2,0.9,0.4,1.4,4.9
28,Desmond Bane\banede01,SG,22,MEM,30,8,22.9,3.7,7.6,.485,1.8,3.9,.458,1.9,3.6,.514,.604,0.8,0.9,.889,0.4,2.5,2.9,1.3,0.7,0.1,1.1,2.0,9.9
29,Harrison Barnes\barneha02,PF,28,SAC,35,35,35.7,5.6,11.4,.492,1.6,4.3,.376,4.0,7.1,.562,.563,3.9,4.7,.823,1.0,5.2,6.2,3.5,0.8,0.2,1.5,1.4,16.7
30,RJ Barrett\barrerj01,SG,20,NYK,39,39,33.1,6.5,14.4,.452,1.2,3.4,.359,5.3,11.1,.480,.494,2.8,3.9,.730,1.2,4.7,5.9,2.9,0.7,0.2,1.9,2.6,17.1
31,Will Barton\bartowi01,SF,30,DEN,35,31,30.1,4.7,10.5,.448,1.7,4.3,.403,3.0,6.2,.479,.530,1.1,1.5,.750,0.6,3.4,4.0,3.1,0.8,0.4,1.7,1.6,12.2
32,Keita Bates-Diop\bateske01,SF,25,SAS,15,0,7.4,0.7,2.1,.355,0.3,0.9,.357,0.4,1.1,.353,.435,0.5,0.5,.875,0.3,0.9,1.3,0.5,0.4,0.1,0.1,0.3,2.3
33,Nicolas Batum\batumni01,SF,32,LAC,36,36,29.1,3.1,6.5,.474,1.9,4.4,.443,1.1,2.1,.539,.624,0.8,1.0,.833,0.8,3.9,4.7,2.4,1.2,0.4,0.8,1.8,8.9
34,Aron Baynes\baynear01,C,34,TOR,35,28,19.7,2.7,6.2,.427,0.5,2.1,.243,2.1,4.1,.521,.468,0.5,0.7,.750,1.8,3.8,5.6,1.0,0.3,0.4,0.9,2.4,6.3
35,Kent Bazemore\bazemke01,SF,31,GSW,36,1,16.8,2.4,5.0,.472,1.1,2.6,.424,1.3,2.4,.523,.581,0.7,1.0,.722,0.4,2.5,2.9,1.6,0.9,0.5,1.1,2.2,6.5
36,Darius Bazley\bazleda01,PF,20,OKC,36,36,30.7,4.4,11.2,.392,1.5,5.2,.290,2.9,6.0,.479,.459,1.6,2.3,.704,0.6,6.9,7.5,1.5,0.5,0.6,1.8,0.9,11.9
37,Bradley Beal\bealbr01,SG,27,WAS,34,34,35.5,11.2,23.5,.478,2.2,6.8,.329,9.0,16.7,.539,.526,7.4,8.3,.900,1.3,4.0,5.3,4.6,1.4,0.4,3.2,2.4,32.1
38,Malik Beasley\beaslma01,SG,24,MIN,33,32,33.1,7.6,16.7,.455,3.5,8.7,.406,4.1,8.0,.508,.560,1.8,2.2,.847,0.8,3.8,4.6,2.5,0.8,0.2,1.6,1.6,20.5
